,MAIN,PAR_LEFT,PAR_RIGHT,LLA_LEFT,RETURN,NUM,P_COMMA,LLA_RIGHT,ID,TYPE_VOID,COMMA,INPUT,OUPUT,ENDL,IF,ELSE_IF,ELSE,FOR,LLA_RIGH,WHILE,DO,ADD_IF_CALCULATOR,OPER_ASG,OPE_RES,OPE_SUM,OPE_MAY,OPE_MEN,OPE_MA_IGU,OPE_ME_IGU,OPE_MUL,OPE_DIV,OPE_AND,OPE_OR,OPE_IGU,OPE_DIF,LITERAL,DOUBLE,CHAR,BOOL_V,BOOL_F,TYPE_INT,TYPE_DBL,TYPE_STR,TYPE_CH,TYPE_BL,$
SENT_WH,,,,,,,,,,,,,,,,,,,,WHILE PAR_LEFT CALCULATOR PAR_RIGHT LLA_LEFT SENTENCE LLA_RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_DW,,,,,,,,,,,,,,,,,,,,,DO PAR_LEFT SENTENCE PAR_RIGHT WHILE PAR_LEFT CALCULATOR ADD_IF_CALCULATOR PAR_RIGHT P_COMMA,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,,,,ID FUNC_OR_EQUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_ID ID ASSIGN_VAR,TYPE_ID ID ASSIGN_VAR,TYPE_ID ID ASSIGN_VAR,TYPE_ID ID ASSIGN_VAR,TYPE_ID ID ASSIGN_VAR,
FUNC_OR_EQUAL,,PAR_LEFT ARGUMENT_FUNC PAR_RIGHT,,,,,,,,,,,,,,,,,,,,,OPER_ASG CALCULATOR,,,,,,,,,,,,,,,,,,,,,,,
ARGUMENT_FUNC,,CALCULATOR ADD_ARGUMENT_FUNC,e,,,CALCULATOR ADD_ARGUMENT_FUNC,,,CALCULATOR ADD_ARGUMENT_FUNC,,,,,,,,,,,,,,,CALCULATOR ADD_ARGUMENT_FUNC,,,,,,,,,,,,CALCULATOR ADD_ARGUMENT_FUNC,CALCULATOR ADD_ARGUMENT_FUNC,CALCULATOR ADD_ARGUMENT_FUNC,CALCULATOR ADD_ARGUMENT_FUNC,CALCULATOR ADD_ARGUMENT_FUNC,,,,,,
ADD_ARGUMENT_FUNC,,,e,,,,,,,,COMMA ARGUMENT_FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGN_VAR,,,e,,,,e,,,,,,,,,,,,,,,,OPER_ASG CALCULATOR,,,,,,,,,,,,,,,,,,,,,,,
CALCULATOR,,ARG_BRIGE OPER_TIER_1,,,,ARG_BRIGE OPER_TIER_1,,,ARG_BRIGE OPER_TIER_1,,,,,,,,,,,,,,,OPE_RES ARG_BRIGE OPER_TIER_1,,,,,,,,,,,,ARG_BRIGE OPER_TIER_1,ARG_BRIGE OPER_TIER_1,ARG_BRIGE OPER_TIER_1,ARG_BRIGE OPER_TIER_1,ARG_BRIGE OPER_TIER_1,,,,,,
OPER_TIER_1,,,e,,e,,e,e,,,e,,,,,,,,e,,,e,,OPE_RES ARG_BRIGE OPER_TIER_1,OPE_SUM ARG_BRIGE OPER_TIER_1,OPE_MAY ARG_BRIGE OPER_TIER_1,OPE_MEN ARG_BRIGE OPER_TIER_1,OPE_MA_IGU ARG_BRIGE OPER_TIER_1,OPE_ME_IGU ARG_BRIGE OPER_TIER_1,,,,,,,,,,,,,,,,,
ARG_BRIGE,,ARG OPER_TIER_2,,,,ARG OPER_TIER_2,,,ARG OPER_TIER_2,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG OPER_TIER_2,ARG OPER_TIER_2,ARG OPER_TIER_2,ARG OPER_TIER_2,ARG OPER_TIER_2,,,,,,
OPER_TIER_2,,,e,,e,,e,e,,,e,,,,,,,,e,,,e,,e,e,e,e,e,e,OPE_MUL ARG OPER_TIER_2,OPE_DIV ARG OPER_TIER_2,OPE_AND ARG OPER_TIER_2,OPE_OR ARG OPER_TIER_2,OPE_IGU ARG OPER_TIER_2,OPE_DIF ARG OPER_TIER_2,,,,,,,,,,,
ARG,,PAR_LEFT CALCULATOR PAR_RIGHT,,,,NUM,,,ID INVOKER_FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,LITERAL,DOUBLE,CHAR,BOOL_V,BOOL_F,,,,,,
INVOKER_FUNC,,PAR_LEFT ARGUMENT_FUNC PAR_RIGHT,e,,e,,e,e,,,e,,,,,,,,e,,,e,,e,e,e,e,e,e,e,e,e,e,e,e,,,,,,,,,,,
TYPE_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_INT,TYPE_DBL,TYPE_STR,TYPE_CH,TYPE_BL,
